Name,Category,Rate,Address,Traffic,Time,Menu
자담면가,국수,4.9,부산 강서구 영강길81번길 10 2층 (우)46725,2162,['화~일 11:00 ~ 22:00'],"{'생면칼국수': '7,000', '생면비빔칼국수': '7,000', '생면크림커리': '8,000', '한우채끝찹스테이크': '35,000', '감자뇨끼': '12,000'}"
하라케이크 부산점,"제과,베이커리",4.0,부산 강서구 명지국제6로302번길 11-6 하라빌딩 1층 (우)46773,2134,['매일 09:30 ~ 22:30'],"{'아메리카노(HOT)': '3,500', '리얼딸기라떼': '6,500', '하라라떼': '6,000', '리얼오렌지': '6,000', '허니자몽': '6,000'}"
롯데리아 부산명지국제신도시점,롯데리아,2.8,부산 강서구 명지국제8로 233 (우)46773,2125,['매일 09:00 ~ 22:00'],"{'힙&BEST팩': '24,000', 'NEW 홈패밀리팩': '20,800', '더블한우불고기 버거': '12,400', '더블 클래식치즈버거': '6,900', '더블 치킨버거': '5,500', '더블 데리버거': '4,500', '': ''}"
선창갈삼구이,"해물,생선",3.7,부산 강서구 르노삼성대로 602 (우)46773,2111,['매일 11:30 ~ 21:30'],"{'갈미구이+삼겹(소)': '40,000', '갈미조개수육(소)': '40,000', '갈미조개샤브샤브(소)': '40,000', '갈미조개전골(소)': '40,000', '조개탕(소)': '40,000'}"
수미김밥칼국수,칼국수,1.0,부산 금정구 금샘로578번길 60 1층 (우)46217,2110,['null'],{'null': 'null'}
위드렌터카 김해공항점,렌터카,4.7,부산 강서구 공항앞길85번길 25 (우)46720,2077,['매일 08:00 ~ 22:00'],{'null': 'null'}
만드리곤드레밥,오리,3.9,부산 강서구 공항앞길85번길 13 (우)46720,2054,['매일 11:00 ~ 21:00'],"{'돌솥 곤드레 정식': '11,000', '단호박 오리훈제': '22,000', '곤드레 나물전병': '11,000'}"
시장분식,분식,3.7,부산 강서구 공항로811번다길 23-19 (우)46720,2047,['월~토 07:00 ~ 20:00'],"{'칼국수': '7,000', '비빔칼국수': '8,000', '선지칼국수': '7,000', '비빔밥': '8,000', '선지국밥': '7,000'}"
칸웨이 스타필드시티명지점,중국요리,4.7,부산 강서구 명지국제6로 168 3층 (우)46772,2039,['null'],"{'삼선자장면': '8,000', '삼선짬뽕': '10,000', '우동': '10,000', '새우볶음밥': '10,000', '돼지고기 탕수육(소)': '20,000'}"
연정김치찌개,"찌개,전골",4.1,부산 강서구 경전철로188번길 75 (우)46703,2023,['토 11:00 ~ 16:00'],"{'쌈 싸먹는 김치찌개': '8,000', '쌈 싸먹는 꽁치김치찌개': '9,000', '기계밀면(5월~8월 여름특미)': '7,000', '동태찌개(10월~4월 겨울특미)': '9,000', '돼지두루치기(대)': '25,000'}"
동경회관,한정식,3.8,"부산 강서구 신호산단1로72번길 17 2,3층 (우)46760",2017,['매일 11:30 ~ 22:00'],{}
금호횟집,회,4.3,부산 강서구 명지새동네길1번길 62 (우)46725,1975,['매일 10:00 ~ 21:30'],"{'가오리 (대)': '100,000', '가오리 (소)': '80,000', '하모회 (중)': '100,000', '하모회 (소)': '90,000', '모듬회 (대)': '100,000', '모듬회 (중)': '90,000', '': ''}"
강호중 마라도물회,회,4.0,부산 강서구 녹산화전로 283 (우)46734,1908,"['매일 11:00 ~ 21:00', '매일 휴게시간 15:00 ~ 17:00']",{'null': 'null'}
칠곡보리밥칼국수,한식,4.4,부산 강서구 신호산단4로64번길 35 (우)46759,1892,"['월~토 11:00 ~ 22:00', '월~토 휴게시간 15:00 ~ 17:00']","{'열무보리밥': '6,000', '칼국수': '6,000', '해물파전': '8,000', '골뱅이무침+소면': '18,000', 'LA갈비': '18,000'}"
고집불통토굴속묵은지,"찌개,전골",3.4,부산 강서구 공항앞길 68 (우)46720,1866,"['월~토 09:00 ~ 19:00', '월~토 휴게시간 15:00 ~ 17:00']","{'추천\n고추장두루치기+된장찌개 Set': '10,000', '김치두루치기+된장찌개 Set': '10,000', '김치찌개': '10,000'}"
선유도원,카페,268,부산 금정구 상현로 64 (우)46211,15147,['매일 10:00 ~ 22:00'],"{'선유도원 블랜드': '6,000', '아메리카노': '6,000', '카페라떼': '6,000', '바닐라라떼': '6,500', '백도오룡 밀크티': '9,000', 'TEA 백도오룡': '7,000', '': ''}"
모모스커피 부산본점,커피전문점,4.3,부산 금정구 오시게로 20 (우)46311,14107,['매일 08:00 ~ 18:00'],"{'에스프레소 (HOT)': '4,800', '오늘의 핸드드립': '6,000', '에스프레소': '5,500', '롱블랙': '5,500', '아메리카노': '5,500', '콜드브루': '5,500', '': ''}"
맥도날드 부산구서DT점,맥도날드,3.7,부산 금정구 중앙대로 1957 (우)46229,12290,['매일 00:00 ~ 24:00'],{}
배비장보쌈,"족발,보쌈",10,부산 금정구 금정로 239 (우)46273,10965,['매일 11:30 ~ 21:30'],"{'배비장 보쌈 (중)': '37,000', '커플세트 (2인)': '39,000', '스페셜세트 (3,4인)': '72,000', '막국수': '7,000', '쟁반국수 (중)': '14,000'}"
헤이든신씨어,카페,2.3,부산 금정구 산성로 436 (우)46237,10936,['매일 10:30 ~ 22:00'],"{'아메리카노': '5,500', '라떼': '6,000', '수제바닐라빈라떼': '6,500', '바나나망고': '7,000', '오트라떼': '7,000'}"
스타벅스 금정남산동DT점,스타벅스,4.9,부산 금정구 중앙대로 1989 남산프라자 (우)46227,8669,"['금,토 07:00 ~ 23:00']","{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
스타벅스 금정구청DT점,스타벅스,3.4,부산 금정구 중앙대로 1730 (우)46266,8534,"['금,토 07:00 ~ 23:00']","{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
스타벅스 온천장역DT점,스타벅스,3.1,부산 금정구 식물원로 13 (우)46301,8415,"['금,토 07:00 ~ 23:00']","{'아이스 슈크림 라떼': '6,300', '슈크림 라떼': '6,300', '봄 딸기 라떼': '6,900', '리저브 나이트로': '7,500', '바질 레몬 셔벗 블렌디드': '6,500', '제주 말차 & 애플망고 블렌디드': '7,500', '': ''}"
