순위,업소명,주소,분류,검색량
100,해운대해물칼국수,부산 기장군 해맞이로 270-0,한식,4059
1,스타벅스동명대DT점,부산 남구 신선로 423-0,카페/찻집,20501
2,호포갈비문현점,부산 남구 우암로 359-0,한식,13947
3,공원칼국수,부산 남구 유엔평화로 110-0,한식,12619
4,메그네이트,부산 남구 진남로 135-0,카페/찻집,9089
5,맥도날드부산동명대DT점,부산 남구 신선로 424-0,간이음식,8972
6,김유순대구뽈찜전문,부산 남구 진남로 15-0,한식,8869
7,쿠우쿠우부산경성대점,부산 남구 수영로 305-0,전문음식,8802
8,쌍둥이돼지국밥대연점,부산 남구 유엔평화로13번길 2-0,한식,8136
9,합천국밥집,부산 남구 용호로 235-0,한식,8053
10,오륙도가원,부산 남구 백운포로 14-0,한식,8046
11,쌍둥이돼지국밥본점,부산 남구 유엔평화로 35-1,한식,7500
12,용호동할매팥빙수단팥죽본점,부산 남구 용호로90번길 24-0,카페/찻집,7063
13,스타벅스용호동W스퀘어점,부산 남구 분포로 145-0,카페/찻집,6924
14,내호냉면,부산 남구 우암번영로26번길 17-0,한식,6921
15,맥도날드부산황령DT점,부산 남구 황령대로 374-0,간이음식,6748
16,진주냉면대연점,부산 남구 유엔로 214-0,한식,5902
17,육면정,부산 남구 황령대로 329-0,한식,5579
18,초원복국대연본점,부산 남구 황령대로492번길 30-0,전문음식,5293
19,광명집,부산 남구 신선로 458-0,한식,4645
20,버거킹부산대연GS점,부산 남구 수영로 288-0,간이음식,4471
21,거창맷돌순두부,부산 남구 유엔로 221-0,한식,4267
22,빕스부산W스퀘어점,부산 남구 분포로 145-0,전문음식,4084
23,맛찬들왕소금구이대연동직영점,부산 남구 유엔평화로 36-0,한식,3963
24,구름고개,부산 남구 황령산로 260-0,카페/찻집,3935
25,이흥용과자점문현본점,부산 남구 수영로39번길 2-1,간이음식,3660
26,듀스포레,부산 남구 황령대로319번가길 193-0,전문음식,3570
27,식당3선용호점,부산 남구 용호로 91-0,한식,3410
28,참소국밥부산본점,부산 남구 유엔로 187-0,한식,3353
29,더도이종가집돼지국밥문현점,부산 남구 전포대로 13-5,한식,3181
30,진주횟집,부산 남구 백운포로 39-18,전문음식,3166
31,쌍희반점[중식],부산 남구 8부두로 3-1,외국식,3116
32,섭자리자연산횟집,부산 남구 분포로 66-30,전문음식,2944
33,알천순대곱창전골전문점알천본점,부산 남구 용소로7번길 88-0,전문음식,2887
34,착한낙지남구직영점,부산 남구 석포로 139-1,전문음식,2595
35,풍년곱창감만동점,부산 남구 우암로 76-3,전문음식,2462
36,카페그리다,부산 남구 유엔로 219-4,카페/찻집,2171
37,해파랑카페,부산 남구 오륙도로 137-0,카페/찻집,2146
38,이가한우한돈,부산 남구 분포로 66-17,한식,2121
39,문화쌈밥,부산 남구 유엔평화로 72-0,한식,2015
40,스타벅스부산대연역점,부산 남구 수영로 240-1,카페/찻집,2004
41,황령산전망쉼터,부산 남구 황령산로 391-39,카페/찻집,1959
42,파리바게뜨PB경성대점,부산 남구 용소로 6-0,간이음식,1955
43,버거킹부산용호분포SK,부산 남구 용호로 116-0,간이음식,1951
44,양산박,부산 남구 못골로 75-0,한식,1945
45,스시미르네용호점,부산 남구 분포로 115-0,외국식,1895
46,겐츠베이커리본점,부산 남구 분포로 111-0,간이음식,1863
47,동해바다,부산 남구 유엔로 208-0,한식,1801
48,스타벅스경성대점,부산 남구 수영로 312-0,카페/찻집,1680
49,맥도날드경성대점,부산 남구 수영로 304-0,간이음식,1677
50,쏘리낫쏘리베이크샵,부산 남구 분포로 66-33,카페/찻집,1674
51,수빈식당,부산 남구 석포로114번길 18-0,한식,1603
52,포항물회,부산 남구 유엔평화로 15-0,전문음식,1597
53,부산약콩밀면,부산 남구 동명로145번길 80-0,한식,1572
54,보타닉아덴,부산 남구 전포대로 133-0,카페/찻집,1562
55,문현동곱창골목,부산 남구,음식점기타,1537
56,골목집,부산 남구 용호로 203-4,한식,1507
57,스타벅스BIFC Mall점,부산 남구 문현금융로 40-0,카페/찻집,1506
58,대연밀면,부산 남구 천제등로 55-0,간이음식,1498
59,산청한방오리불고기,부산 남구 동명로146번길 135-0,전문음식,1475
60,유일한식탁,부산 남구 용소로13번길 62-0,전문음식,1402
61,유동커피,부산 남구 분포로 115-0,카페/찻집,1400
62,차이나반점[중식],부산 남구 용주로 33-0,외국식,1349
63,영진돼지국밥경성부경점,부산 남구 수영로346번길 18-0,한식,1345
64,만선해물탕,부산 남구 유엔평화로4번길 61-0,한식,1315
65,홍익돈까스부산대연점,부산 남구 용소로8번길 37-0,전문음식,1299
66,와사비문현점,부산 남구 고동골로4번길 10-0,전문음식,1298
67,더파티문현점,부산 남구 전포대로 26-0,전문음식,1281
68,형제돼지국밥,부산 남구 용소로13번길 29-1,한식,1279
69,KFC경성대부경대점,부산 남구 수영로 324-0,간이음식,1214
70,자연이주는밥상,부산 남구 백운포로 43-0,한식,1187
71,산미정본점,부산 남구 수영로219번길 9-0,한식,1145
72,미정아구찜,부산 남구 유엔로 177-0,한식,1126
73,메츠과자점,부산 남구 수영로266번길 46-0,간이음식,1122
74,이솔생산오리,부산 남구 신선로 499-0,전문음식,1105
75,스타벅스부산대연못골점,부산 남구 못골로 87-0,카페/찻집,1084
