상호명,카테고리,평점,주소,운영시간,메뉴,시설
영도다리옻삼계탕,삼계탕,3.8,부산 영도구 태종로 70 (우)49045,['null'],"{'타는 전복 옻계탕': '22,000', '안타는 전복 옻계탕': '22,000', '전복 삼계탕': '19,000', '한방 삼계탕': '13,000', '들깨 삼계탕': '15,000'}",{}
원조부안집 부산영도점,원조부안집,5.0,부산 영도구 절영로35번길 15 1층 (우)49052,['화~일 16:00 ~ 24:00'],{},{'WIFI': '가능'}
칼국수전문점 봉이,칼국수,3.8,부산 영도구 남항로 1 1층 (우)49045,['월~토 11:30 ~ 20:30'],"{'냉초계 메밀면': '7,500', '냉콩 메밀면': '7,500', '닭 칼국수': '5,500'}",{}
부산항양곱창,"곱창,막창",3.0,부산 영도구 절영로35번길 18 (우)49054,"['월,화,수,목,금,일 16:00 ~ 03:30']","{'양곱창(소)': '40,000', '전골': '40,000', '새우': '30,000', '꽃등심(200g)': '30,000', '특삼겹살 (500g)': '30,000'}",{}
부산본가돼지국밥,국밥,5.0,부산 영도구 태종로 60 (우)49042,['화~일 09:00 ~ 22:00'],"{'돼지국밥': '8,000', '수육(중)': '25,000'}",{}
일월식당,"해물,생선",4.8,부산 영도구 절영로14번길 16 (우)49033,['매일 05:30 ~ 23:00'],"{'뼈다귀해장국': '6,000', '바지락콩나물해장국': '6,000', '순두부찌개': '6,000', '고등어구이백반': '6,000', '돼지불고기': '7,000'}",{}
배스킨라빈스 부산영도점,배스킨라빈스,0,부산 영도구 태종로 88 (우)49052,['매일 10:00 ~ 23:00'],"{'옹기종기팩': '26,500', '아빠왔다팩': '13,500', '파인트': '8,900', '쿼터': '17,000', '패밀리': '24,000'}",{}
왕돼지국밥,국밥,5.0,부산 영도구 절영로14번길 18 (우)49033,['null'],{},{}
교촌치킨 대교남항점,교촌치킨,3.4,부산 영도구 절영로 50 JS프라자 1층 (우)49045,['매일 12:00 ~ 24:00'],"{'교촌오리지날': '19,000', '교촌콤보': '22,000', '교촌윙': '22,000', '교촌허니오리지날': '19,000', '교촌허니콤보': '23,000', '교촌레드오리지날': '20,000', '': ''}",{}
돈부자전복삼계탕,한정식,0,부산 영도구 절영로13번길 3-1 (우)49034,['null'],"{'전복삼계탕': '15,000', '옻전복삼계탕': '16,000', '녹두삼계탕': '15,000', '꺼먹돼지 (100g)': '8,000', '된장': '2,000'}",{}
